"Piezo Voltage (V)";"Fast In 3 (V)";"Fast In 4 (V)";
42.081478;-0.004944942;-0.037951179;
42.081963;-0.0048059993;-0.038679894;
42.082458;-0.0049926424;-0.038157634;
42.082947;-0.0049943547;-0.038756214;
42.083443;-0.0048845215;-0.038776029;
42.083927;-0.0051161745;-0.039396867;
42.084423;-0.0050175935;-0.039042417;
42.084911;-0.0047343266;-0.037995942;
42.085407;-0.0049175448;-0.036741298;
42.085892;-0.0050100102;-0.038549267;
42.086388;-0.0048559015;-0.040933799;
42.086876;-0.0048358426;-0.040992018;
42.08736;-0.0048263026;-0.038669128;
42.087856;-0.0047333478;-0.040140014;
42.088352;-0.0049696486;-0.040310267;
42.08884;-0.0046352562;-0.038690411;
42.089336;-0.0043852571;-0.037904944;
42.089821;-0.0046440628;-0.04105366;
42.090317;-0.0039067855;-0.040539719;
42.090805;-0.0048385337;-0.04052015;
42.091301;-0.0042918134;-0.041769899;
42.091785;-0.0042507178;-0.040280912;
42.092281;-0.0046839351;-0.040170103;
42.09277;-0.0048426921;-0.039649311;
42.093266;-0.0042935256;-0.04114417;
42.09375;-0.004462312;-0.04096511;
42.094246;-0.004452527;-0.040874355;
42.094734;-0.004713045;-0.041013543;
42.09523;-0.0042353068;-0.041915938;
42.095715;-0.0040183309;-0.042180859;
42.09621;-0.0036712189;-0.041757423;
42.096699;-0.0043463632;-0.041623373;
42.097195;-0.0042587901;-0.042296074;
42.097679;-0.0041438197;-0.041845977;
42.098175;-0.0042240545;-0.042436972;
42.098663;-0.0042492501;-0.04161359;
42.099159;-0.0042560995;-0.043214854;
42.099644;-0.0039554643;-0.041507915;
42.10014;-0.0038974902;-0.042156886;
42.100628;-0.004145043;-0.043780901;
42.101124;-0.0038713161;-0.043984421;
42.101608;-0.0040065893;-0.043889266;
42.102097;-0.0035303193;-0.044300959;
42.102592;-0.0037565904;-0.044647582;
42.103088;-0.0035917184;-0.04564929;
42.103573;-0.0030797338;-0.045671303;
42.104061;-0.0035014544;-0.044389509;
42.104557;-0.0028901554;-0.045182802;
42.105053;-0.0031200957;-0.045252275;
42.105537;-0.0030256736;-0.0464487;
42.106033;-0.0036778236;-0.046441849;
42.106522;-0.0020207849;-0.047804367;
42.107018;-0.0023380537;-0.047445271;
42.107502;-0.0028527288;-0.048881419;
42.10799;-0.0026677982;-0.04806513;
42.108486;-0.0030012117;-0.048779171;
42.108971;-0.0020195618;-0.049818795;
42.109467;-0.0021015087;-0.049891446;
42.109955;-0.0023067428;-0.051896576;
42.110451;-0.0019547383;-0.049251035;
42.110935;-0.0016448079;-0.051960908;
42.111431;-0.0018260694;-0.052596424;
42.111919;-0.0012035179;-0.051640458;
42.112415;-0.0017179485;-0.052936934;
42.1129;-0.00022504808;-0.053885069;
42.113396;-0.0014346815;-0.05315024;
42.113884;-0.00067832426;-0.054260556;
42.11438;-0.001383801;-0.054480713;
42.114864;-0.00053546764;-0.052611589;
42.11536;9.0508465e-06;-0.055719458;
42.115849;-0.00080748228;-0.055163931;
42.116344;-0.00089945842;-0.05496946;
42.116829;-0.00049241498;-0.05746847;
42.117325;-0.00055674935;-0.059342239;
42.117813;0.00094984961;-0.057630409;
42.118309;-0.00078399898;-0.059769586;
42.118793;0.00020988179;-0.059283286;
42.119289;0.001103714;-0.060829271;
42.119778;0.00053228764;-0.060775455;
42.120274;0.0070941513;-0.063148975;
42.120758;0.00097284367;-0.063460864;
42.121254;0.001518096;-0.063468695;
42.121742;0.0025418201;-0.064985812;
42.122238;0.0026954398;-0.063481413;
42.122723;0.0020939256;-0.064158268;
42.123219;0.0021641308;-0.066172697;
42.123707;0.0032556138;-0.068369851;
42.124203;0.0027879053;-0.068869598;
42.124687;0.0039539966;-0.071034223;
42.125183;0.003506836;-0.07155893;
42.125671;0.0088771675;-0.071564555;
42.126167;0.0063808467;-0.073643312;
42.126652;0.0056597143;-0.075115912;
42.127148;0.0086440472;-0.076718643;
42.127636;0.010633522;-0.082596064;
42.128132;0.014686099;-0.085561812;
42.128616;0.019518273;-0.088402793;
42.129112;0.01692386;-0.089287333;
42.129601;0.022681177;-0.092031941;
42.130085;0.034197766;-0.095005512;
42.130581;0.028540744;-0.096946307;
42.131077;0.034826677;-0.10881808;
42.131565;0.042172298;-0.11120457;
42.132061;0.027718583;-0.11562481;
42.132545;0.057105947;-0.12233295;
42.133041;0.10310601;-0.13912643;
42.13353;0.070802078;-0.14436491;
42.134026;0.12337136;-0.15533258;
42.13451;0.20847598;-0.1446313;
42.135006;0.16335531;-0.15787049;
42.135494;0.31432194;-0.14515308;
42.13599;0.24784055;-0.14462911;
42.136475;0.21073134;-0.13720863;
42.136971;0.26915163;-0.12448338;
42.137459;0.26850435;-0.11940561;
42.137955;0.30113608;-0.11496679;
42.138439;0.19998407;-0.11292227;
42.138935;0.25389898;-0.10769871;
42.139423;0.29231787;-0.10085481;
42.139919;0.28715426;-0.09368629;
42.140404;0.3628225;-0.089816928;
42.1409;0.35722026;-0.081023909;
42.141388;0.32864675;-0.078915797;
42.141884;0.3244929;-0.082907952;
42.142368;0.31461915;-0.061331224;
42.142864;0.32639748;-0.058586862;
42.143353;0.39089528;-0.060995609;
42.143848;0.3206979;-0.057003453;
42.144333;0.29395387;-0.044839606;
42.144821;0.37228161;-0.05061698;
42.145317;0.37728748;-0.028222252;
42.145813;0.33285588;-0.016784918;
42.146297;0.35242993;-0.044094011;
42.146793;0.3344278;-0.028385166;
42.147282;0.31948361;-0.018449783;
42.147778;0.33400166;-0.0052064382;
42.148262;0.31135622;-0.013712277;
42.148758;0.33528984;-0.0055298223;
42.149246;0.32941508;0.014269026;
42.149742;0.33177075;0.015141332;
42.150227;0.35146245;0.037244968;
42.150723;0.34187859;0.013344862;
42.151211;0.32769641;0.028035607;
42.151707;0.32107559;0.026725192;
42.152191;0.33129597;0.038641978;
42.152687;0.37640905;0.054308992;
42.153175;0.27754566;0.056622829;
42.153671;0.35201383;0.048333477;
42.154156;0.36617303;0.053791627;
42.154652;0.33109415;0.060780101;
42.15514;0.3396993;0.065729201;
42.155636;0.27365479;0.078660414;
42.15612;0.29123056;0.084388621;
42.156616;0.3513453;0.088272169;
42.157104;0.35079294;0.091263838;
42.1576;0.33642974;0.09834405;
42.158085;0.28236905;0.080822349;
42.158581;0.32251173;0.11047316;
42.159069;0.30863166;0.10603116;
42.159565;0.29506934;0.10593649;
42.160049;0.35824105;0.11718816;
42.160545;0.31542003;0.1254961;
42.161034;0.1934271;0.12704086;
42.161518;0.12648655;0.11322829;
42.162014;0.24501522;0.14003934;
42.16251;0.17210405;0.14124531;
42.162998;0.23862875;0.14477171;
42.163494;0.2473814;0.14065358;
42.163979;0.13771033;0.14096962;
42.164474;0.14653222;0.13465336;
42.164963;0.1077107;0.12506068;
42.165459;0.054387268;0.1070265;
42.165943;0.041099403;0.099871442;
42.166431;0.035675012;0.090249412;
42.166927;0.024040027;0.085436806;
42.167423;0.028084042;0.076116398;
42.167908;0.033702414;0.069151402;
42.168404;0.025349464;0.065111786;
42.168892;0.016192453;0.061923444;
42.169376;0.016230125;0.06026249;
42.169872;0.011640122;0.060335387;
42.170361;0.015793482;0.053649258;
42.170856;0.014804494;0.050545309;
42.171341;0.010465224;0.05210181;
42.171837;0.011718889;0.050397314;
42.172325;0.0078862226;0.047013275;
