in s,C1 in V
-2.9835000E+01,6.64746E-02
-2.9834541E+01,5.40332E-02
-2.9834082E+01,4.69238E-02
-2.9833623E+01,5.58105E-02
-2.9833164E+01,5.93652E-02
-2.9832705E+01,5.40332E-02
-2.9832246E+01,6.29199E-02
-2.9831787E+01,5.93652E-02
-2.9831328E+01,5.93652E-02
-2.9830869E+01,5.22559E-02
-2.9830410E+01,7.35840E-02
-2.9829951E+01,6.29199E-02
-2.9829492E+01,5.93652E-02
-2.9829033E+01,4.69238E-02
-2.9828574E+01,7.00293E-02
-2.9828115E+01,5.22559E-02
-2.9827656E+01,5.40332E-02
-2.9827197E+01,4.69238E-02
-2.9826738E+01,6.29199E-02
-2.9826279E+01,6.11426E-02
-2.9825820E+01,7.53613E-02
-2.9825361E+01,5.75879E-02
-2.9824902E+01,5.75879E-02
-2.9824443E+01,5.58105E-02
-2.9823984E+01,5.58105E-02
-2.9823525E+01,7.89160E-02
-2.9823066E+01,5.58105E-02
-2.9822607E+01,5.75879E-02
-2.9822148E+01,5.75879E-02
-2.9821689E+01,5.58105E-02
-2.9821230E+01,7.00293E-02
-2.9820771E+01,6.29199E-02
-2.9820312E+01,5.75879E-02
-2.9819853E+01,6.11426E-02
-2.9819394E+01,6.29199E-02
-2.9818935E+01,5.93652E-02
-2.9818476E+01,6.29199E-02
-2.9818017E+01,6.64746E-02
-2.9817558E+01,4.15918E-02
-2.9817099E+01,5.58105E-02
-2.9816640E+01,7.00293E-02
-2.9816181E+01,6.46973E-02
-2.9815722E+01,4.51465E-02
-2.9815263E+01,4.69238E-02
-2.9814804E+01,6.11426E-02
-2.9814345E+01,4.69238E-02
-2.9813886E+01,5.58105E-02
-2.9813427E+01,6.29199E-02
-2.9812968E+01,4.51465E-02
-2.9812509E+01,5.93652E-02
-2.9812050E+01,5.75879E-02
-2.9811591E+01,4.69238E-02
-2.9811132E+01,6.64746E-02
-2.9810673E+01,6.11426E-02
-2.9810214E+01,7.35840E-02
-2.9809755E+01,7.71387E-02
-2.9809296E+01,5.75879E-02
-2.9808837E+01,7.18066E-02
-2.9808378E+01,5.40332E-02
-2.9807919E+01,5.22559E-02
-2.9807460E+01,6.11426E-02
-2.9807001E+01,6.64746E-02
-2.9806542E+01,5.58105E-02
-2.9806083E+01,4.69238E-02
-2.9805624E+01,5.75879E-02
-2.9805165E+01,6.29199E-02
-2.9804706E+01,5.75879E-02
-2.9804247E+01,5.75879E-02
-2.9803788E+01,6.46973E-02
-2.9803329E+01,5.58105E-02
-2.9802870E+01,5.22559E-02
