in s,C1 in V
-5.9683638E+00,5.61523E-02
-5.9682721E+00,6.20117E-02
-5.9681804E+00,5.61523E-02
-5.9680888E+00,6.10352E-02
-5.9679971E+00,6.39648E-02
-5.9679055E+00,5.90820E-02
-5.9678138E+00,6.88477E-02
-5.9677222E+00,5.81055E-02
-5.9676305E+00,6.39648E-02
-5.9675388E+00,6.20117E-02
-5.9674472E+00,6.10352E-02
-5.9673555E+00,6.59180E-02
-5.9672639E+00,6.59180E-02
-5.9671722E+00,6.29883E-02
-5.9670806E+00,5.41992E-02
-5.9669889E+00,6.00586E-02
-5.9668973E+00,6.49414E-02
-5.9668056E+00,6.00586E-02
-5.9667139E+00,6.10352E-02
-5.9666223E+00,6.00586E-02
-5.9665306E+00,5.32227E-02
-5.9664390E+00,4.83398E-02
-5.9663473E+00,5.51758E-02
-5.9662557E+00,5.90820E-02
-5.9661640E+00,6.49414E-02
-5.9660724E+00,6.00586E-02
-5.9659807E+00,6.20117E-02
-5.9658890E+00,6.00586E-02
-5.9657974E+00,5.32227E-02
-5.9657057E+00,6.49414E-02
-5.9656141E+00,5.61523E-02
-5.9655224E+00,5.12695E-02
-5.9654308E+00,6.00586E-02
-5.9653391E+00,6.59180E-02
-5.9652474E+00,6.29883E-02
-5.9651558E+00,6.78711E-02
-5.9650641E+00,6.39648E-02
-5.9649725E+00,6.88477E-02
-5.9648808E+00,6.49414E-02
-5.9647892E+00,5.51758E-02
-5.9646975E+00,6.29883E-02
-5.9646059E+00,6.39648E-02
-5.9645142E+00,5.51758E-02
-5.9644225E+00,6.20117E-02
-5.9643309E+00,5.51758E-02
-5.9642392E+00,5.51758E-02
-5.9641476E+00,6.88477E-02
-5.9640559E+00,6.10352E-02
-5.9639643E+00,5.51758E-02
-5.9638726E+00,6.49414E-02
-5.9637810E+00,5.71289E-02
-5.9636893E+00,5.61523E-02
-5.9635976E+00,6.20117E-02
-5.9635060E+00,6.29883E-02
-5.9634143E+00,6.49414E-02
-5.9633227E+00,4.93164E-02
-5.9632310E+00,6.29883E-02
