in s,C1 in V
-5.932320E+00,-3.03711E-02
-5.932224E+00,-2.54883E-02
-5.932128E+00,8.69141E-03
-5.932032E+00,-3.52539E-02
-5.931936E+00,-3.03711E-02
-5.931840E+00,-5.95703E-03
-5.931744E+00,-1.08398E-02
-5.931648E+00,-1.07422E-03
-5.931552E+00,-1.07422E-03
-5.931456E+00,-3.03711E-02
-5.931360E+00,1.35742E-02
-5.931264E+00,-1.57227E-02
-5.931168E+00,1.35742E-02
-5.931072E+00,-5.96680E-02
-5.930976E+00,-3.03711E-02
-5.930880E+00,-2.06055E-02
-5.930784E+00,-3.03711E-02
-5.930688E+00,-5.95703E-03
-5.930592E+00,-3.52539E-02
-5.930496E+00,-5.95703E-03
-5.930400E+00,-4.01367E-02
-5.930304E+00,1.84570E-02
-5.930208E+00,-4.50195E-02
-5.930112E+00,-3.03711E-02
-5.930016E+00,-1.07422E-03
-5.929920E+00,-1.57227E-02
-5.929824E+00,-4.01367E-02
-5.929728E+00,-4.50195E-02
-5.929632E+00,-1.08398E-02
-5.929536E+00,-5.95703E-03
-5.929440E+00,-1.57227E-02
-5.929344E+00,-5.95703E-03
-5.929248E+00,3.80859E-03
-5.929152E+00,-4.99023E-02
-5.929056E+00,8.69141E-03
-5.928960E+00,-5.95703E-03
-5.928864E+00,-4.01367E-02
-5.928768E+00,-3.52539E-02
-5.928672E+00,1.35742E-02
-5.928576E+00,-3.52539E-02
-5.928480E+00,-2.54883E-02
-5.928384E+00,-6.94336E-02
-5.928288E+00,-4.01367E-02
-5.928192E+00,2.82227E-02
-5.928096E+00,-1.07422E-03
-5.928000E+00,-2.54883E-02
-5.927904E+00,-3.52539E-02
-5.927808E+00,-2.06055E-02
-5.927712E+00,-5.95703E-03
-5.927616E+00,-3.03711E-02
-5.927520E+00,-2.06055E-02
-5.927424E+00,1.35742E-02
-5.927328E+00,1.35742E-02
-5.927232E+00,-1.07422E-03
-5.927136E+00,-5.95703E-03
-5.927040E+00,-4.99023E-02
-5.926944E+00,1.84570E-02
-5.926848E+00,-3.52539E-02
-5.926752E+00,8.69141E-03
-5.926656E+00,-2.06055E-02
-5.926560E+00,3.80859E-03
-5.926464E+00,2.33398E-02
-5.926368E+00,-1.08398E-02
-5.926272E+00,-2.54883E-02
-5.926176E+00,-5.95703E-03
-5.926080E+00,1.35742E-02
-5.925984E+00,-2.06055E-02
-5.925888E+00,2.33398E-02
-5.925792E+00,-1.07422E-03
-5.925696E+00,-1.07422E-03
-5.925600E+00,2.33398E-02
-5.925504E+00,-2.06055E-02
-5.925408E+00,-3.52539E-02
-5.925312E+00,-3.03711E-02
-5.925216E+00,-1.08398E-02
-5.925120E+00,-2.06055E-02
-5.925024E+00,-3.03711E-02
-5.924928E+00,-1.08398E-02
-5.924832E+00,-3.03711E-02
-5.924736E+00,-1.08398E-02
