in s,C1 in V
-2.9706552E+01,7.32422E-02
-2.9706094E+01,6.73828E-02
-2.9705636E+01,7.51953E-02
-2.9705178E+01,6.15234E-02
-2.9704720E+01,6.54297E-02
-2.9704262E+01,3.80859E-02
-2.9703804E+01,6.73828E-02
-2.9703347E+01,6.93359E-02
-2.9702889E+01,7.71484E-02
-2.9702431E+01,5.95703E-02
-2.9701973E+01,5.95703E-02
-2.9701515E+01,6.34766E-02
-2.9701057E+01,6.15234E-02
-2.9700599E+01,5.17578E-02
-2.9700141E+01,5.76172E-02
-2.9699683E+01,5.17578E-02
-2.9699225E+01,5.76172E-02
-2.9698767E+01,6.15234E-02
-2.9698309E+01,5.37109E-02
-2.9697851E+01,4.98047E-02
-2.9697393E+01,6.73828E-02
-2.9696935E+01,5.17578E-02
-2.9696477E+01,5.56641E-02
-2.9696019E+01,5.56641E-02
-2.9695561E+01,4.98047E-02
-2.9695103E+01,5.37109E-02
-2.9694645E+01,6.73828E-02
-2.9694187E+01,6.34766E-02
-2.9693729E+01,6.15234E-02
-2.9693271E+01,5.95703E-02
-2.9692813E+01,5.95703E-02
-2.9692355E+01,5.56641E-02
-2.9691897E+01,6.93359E-02
-2.9691439E+01,5.17578E-02
-2.9690981E+01,5.95703E-02
-2.9690523E+01,7.51953E-02
-2.9690065E+01,6.73828E-02
-2.9689607E+01,5.76172E-02
-2.9689150E+01,7.32422E-02
-2.9688692E+01,6.54297E-02
-2.9688234E+01,6.73828E-02
-2.9687776E+01,6.73828E-02
-2.9687318E+01,5.37109E-02
-2.9686860E+01,5.76172E-02
-2.9686402E+01,6.93359E-02
-2.9685944E+01,6.34766E-02
-2.9685486E+01,7.12891E-02
-2.9685028E+01,5.17578E-02
-2.9684570E+01,5.76172E-02
-2.9684112E+01,6.73828E-02
-2.9683654E+01,5.17578E-02
-2.9683196E+01,6.73828E-02
-2.9682738E+01,4.98047E-02
-2.9682280E+01,5.56641E-02
-2.9681822E+01,6.15234E-02
-2.9681364E+01,5.76172E-02
-2.9680906E+01,6.54297E-02
-2.9680448E+01,5.56641E-02
-2.9679990E+01,6.73828E-02
-2.9679532E+01,5.37109E-02
-2.9679074E+01,6.15234E-02
-2.9678616E+01,7.32422E-02
-2.9678158E+01,6.73828E-02
-2.9677700E+01,4.00391E-02
-2.9677242E+01,7.12891E-02
-2.9676784E+01,6.15234E-02
-2.9676326E+01,6.73828E-02
-2.9675868E+01,5.76172E-02
-2.9675410E+01,6.15234E-02
-2.9674952E+01,6.34766E-02
-2.9674495E+01,6.15234E-02
-2.9674037E+01,6.34766E-02
-2.9673579E+01,5.76172E-02
-2.9673121E+01,5.17578E-02
-2.9672663E+01,5.76172E-02
-2.9672205E+01,5.76172E-02
-2.9671747E+01,7.71484E-02
-2.9671289E+01,6.73828E-02
-2.9670831E+01,6.73828E-02
-2.9670373E+01,5.37109E-02
-2.9669915E+01,5.76172E-02
-2.9669457E+01,6.15234E-02
-2.9668999E+01,6.73828E-02
-2.9668541E+01,5.95703E-02
-2.9668083E+01,4.39453E-02
-2.9667625E+01,5.56641E-02
-2.9667167E+01,5.76172E-02
-2.9666709E+01,6.73828E-02
-2.9666251E+01,7.71484E-02
-2.9665793E+01,6.54297E-02
-2.9665335E+01,5.17578E-02
-2.9664877E+01,6.34766E-02
-2.9664419E+01,6.34766E-02
-2.9663961E+01,6.73828E-02
-2.9663503E+01,6.73828E-02
-2.9663045E+01,6.34766E-02
-2.9662587E+01,4.78516E-02
-2.9662129E+01,6.34766E-02
-2.9661671E+01,7.32422E-02
-2.9661213E+01,6.54297E-02
-2.9660755E+01,5.76172E-02
-2.9660298E+01,6.93359E-02
-2.9659840E+01,8.88672E-02
-2.9659382E+01,6.34766E-02
-2.9658924E+01,7.12891E-02
-2.9658466E+01,6.54297E-02
-2.9658008E+01,4.58984E-02
-2.9657550E+01,8.69141E-02
-2.9657092E+01,6.93359E-02
-2.9656634E+01,7.51953E-02
-2.9656176E+01,6.73828E-02
-2.9655718E+01,4.78516E-02
-2.9655260E+01,6.34766E-02
-2.9654802E+01,7.32422E-02
-2.9654344E+01,5.37109E-02
-2.9653886E+01,5.37109E-02
-2.9653428E+01,7.12891E-02
-2.9652970E+01,6.93359E-02
-2.9652512E+01,7.32422E-02
-2.9652054E+01,6.54297E-02
-2.9651596E+01,6.15234E-02
-2.9651138E+01,4.39453E-02
-2.9650680E+01,5.95703E-02
-2.9650222E+01,5.95703E-02
-2.9649764E+01,5.37109E-02
-2.9649306E+01,5.56641E-02
-2.9648848E+01,5.76172E-02
-2.9648390E+01,5.56641E-02
-2.9647932E+01,7.32422E-02
-2.9647474E+01,5.76172E-02
-2.9647016E+01,5.95703E-02
-2.9646558E+01,5.95703E-02
-2.9646101E+01,4.98047E-02
-2.9645643E+01,5.17578E-02
-2.9645185E+01,5.95703E-02
-2.9644727E+01,5.76172E-02
-2.9644269E+01,6.73828E-02
-2.9643811E+01,7.91016E-02
